response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name
DEMO_R0083,45-54,prefer not to say,Al Ain outskirts,home-based food seller,government information,Tourists ask where to camp safely and how to find local guides.,stargazing visitor information hub,Tourism & Stargazing,3,daily,SMS updates,101-250 AED,"A local tourism hub could show safe routes, guide contacts, camping rules, and local sellers.",2026-04-01,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0084,35-44,female,Al Qua'a,student,volunteer,Families want to sell food and handmade products to astronomy visitors.,visitor marketplace for stargazing nights,Tourism & Stargazing,1,monthly,volunteer-assisted form,251-500 AED,"A marketplace for local food, dates, crafts, and camel products could serve weekend visitors.",2026-06-07,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0085,45-54,prefer not to say,Hatta,camel farm worker,volunteer,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,Veterinary & Camel Care,5,daily,phone call service,101-250 AED,A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.,2026-05-28,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0086,35-44,male,Sweihan,livestock supplier,other,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,Market Access,5,daily,SMS updates,251-500 AED,A WhatsApp catalog tool could help local sellers organize orders and understand demand.,2026-06-21,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0087,25-34,prefer not to say,Al Sila,home-based food seller,government information,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,3,daily,mobile app,251-500 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-04-04,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0088,65+,male,Al Wathba,healthcare worker,volunteer,Transport to services in Al Ain is difficult for families and workers.,scheduled rural shuttle,Rural Transport,4,weekly,in-person kiosk,0-50 AED,"A scheduled shuttle to Al Ain for errands, clinics, and supplies would help the community.",2026-05-21,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0089,55-64,female,Al Qua'a,date farmer,survey,Tourists ask where to camp safely and how to find local guides.,stargazing visitor information hub,Tourism & Stargazing,5,monthly,mobile app,501-1000 AED,"A local tourism hub could show safe routes, guide contacts, camping rules, and local sellers.",2026-04-27,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0090,18-24,female,Liwa,teacher,other,Internet issues are repeated but hard to document clearly.,connectivity issue reporting dashboard,Utilities & Maintenance,3,occasionally,web dashboard,251-500 AED,A simple issue tracker could show repeated connectivity problems by area.,2026-05-08,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0091,18-24,female,Al Qua'a,student,survey,Internet issues are repeated but hard to document clearly.,connectivity issue reporting dashboard,Utilities & Maintenance,4,monthly,in-person kiosk,101-250 AED,A simple issue tracker could show repeated connectivity problems by area.,2026-04-07,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0092,18-24,prefer not to say,Al Wathba,driver,other,Home maintenance providers are difficult to find quickly in remote areas.,verified mobile maintenance directory,Utilities & Maintenance,4,occasionally,WhatsApp bot,0-50 AED,"A verified directory for AC repair, plumbing, electrical, and farm maintenance would help households.",2026-04-29,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0093,25-34,male,Al Wathba,camel farm worker,other,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,4,weekly,WhatsApp bot,501-1000 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-06-10,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0094,55-64,female,Al Wathba,craft seller,survey,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,Market Access,5,occasionally,in-person kiosk,501-1000 AED,A WhatsApp catalog tool could help local sellers organize orders and understand demand.,2026-04-10,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0095,45-54,female,Al Qua'a,date farmer,other,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,Market Access,5,daily,in-person kiosk,101-250 AED,A WhatsApp catalog tool could help local sellers organize orders and understand demand.,2026-04-06,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0096,45-54,male,Al Qua'a,livestock supplier,survey,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,Market Access,5,weekly,WhatsApp bot,251-500 AED,A WhatsApp catalog tool could help local sellers organize orders and understand demand.,2026-05-27,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0097,55-64,male,Al Qua'a,mechanic,survey,Home maintenance providers are difficult to find quickly in remote areas.,verified mobile maintenance directory,Utilities & Maintenance,5,daily,web dashboard,251-500 AED,"A verified directory for AC repair, plumbing, electrical, and farm maintenance would help households.",2026-04-12,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0098,25-34,male,Hatta,home-based food seller,survey,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.,same-day mobile camel vet booking,Veterinary & Camel Care,1,daily,web dashboard,51-100 AED,A WhatsApp booking service for camel vets would help farm families avoid long delays.,2026-05-17,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0099,55-64,male,Al Qua'a,craft seller,government information,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,Veterinary & Camel Care,4,monthly,phone call service,0-50 AED,A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.,2026-04-24,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0100,65+,prefer not to say,Al Qua'a,craft seller,volunteer,Families want to sell food and handmade products to astronomy visitors.,visitor marketplace for stargazing nights,Tourism & Stargazing,5,daily,volunteer-assisted form,501-1000 AED,"A marketplace for local food, dates, crafts, and camel products could serve weekend visitors.",2026-05-04,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
